userid,fname,lname,dob,sex,height,weight,blood_type,race,origin,address,last_update
10001,Chloe,Walker,20060116,F,160,68,B+,W,United Kingdom,"Studio 47, Benson Rapids, Carolfurt, B5 3Ha, United Kingdom",2024-04-02T12:45:35Z
10002,Augusto,Sales,20041026,M,187,56,A+,B,Spain,"Camino Ramiro Agudo 98 Piso 0 , Murcia, 11674, Spain",2024-04-02T12:45:35Z
10003,Giustino,Notarbartolo,19850612,M,168,85,O+,W,Italy,"Vicolo Badoer, 3 Piano 5, 95125, Catania (Ct), Italy",2024-04-02T12:45:38Z
10004,Mauro,Vicente,19990320,M,170,70,A-,W,Portugal,"Largo Lúcia Moreira, 75, 5721-858 Estarreja, Portugal",2024-04-02T12:45:38Z
10005,Paca,Lluch,19301130,F,173,67,O+,B,Spain,"Plaza Noa Sanmartín 5, Zaragoza, 35418, Spain",2024-04-02T12:45:38Z
10006,Basilio,Jove,19360309,M,178,89,A+,H,Spain,"C. De Maribel Gallego 4, Ceuta, 49044, Spain",2024-04-02T12:45:38Z
10007,Renée,Delattre,19390628,F,170,61,O+,H,France,"Boulevard De Leclerc, 74129 Lemairebourg, France",2024-04-02T12:45:38Z
10008,Pierpaolo,Necci,19970227,M,166,70,B+,H,Italy,"Strada Marinetti, 6, 90017, Porticello (Pa), Italy",2024-04-02T12:45:38Z
10009,Dan,Salom,19640326,M,157,82,A+,B,Spain,"Via De Amarilis Roma 1, Lugo, 26736, Spain",2024-04-02T12:45:38Z
10010,Arthur,Maillot,19550502,M,167,89,A-,W,France,"4, Boulevard Guérin, 81574 Berthelot-Sur-Mer, France",2024-04-02T12:45:38Z
10011,Luc,Leclercq,19821126,M,169,72,A+,W,France,"Chemin De Carpentier, 97160 Sainte Adriendan, France",2024-04-02T12:45:39Z
10012,Soraya,Carro,19421229,F,160,70,A+,W,Spain,"Avenida De Eugenia Rosado 514, Jaén, 31337, Spain",2024-04-02T12:45:39Z
10013,Dolores,Sordi,19730810,F,154,65,O+,W,Italy,"Rotonda Ligorio, 8 Appartamento 93, 73040, Collepasso (Le), Italy",2024-04-02T12:45:39Z
10014,Jennifer,Murphy,19291011,F,172,60,B-,W,United Kingdom,"4 Wilson Viaduct, Jenniferfort, G94 2Gj, United Kingdom",2024-04-02T12:45:39Z
